name,type,confidence,basis_for_guess,index_letter,page_refs,index_entry,index_entry_original
Tailleux william,person,0.97,given name in entry; used elsewhere as a personal name,T,293.60,"Tailleux william, a Chronicler of Normandie cyted. 293.60","Tailleux william, a Chro|nicler of Normandie cy|ted. 293.60"
Talbot william,person,0.94,given name in entry; used elsewhere as a personal name,T,368.74.,"Talbot william, defendeth Hereforde in the ryght of Mawd the Empres. 368.74.","Talbot william, defendeth Hereforde in the ryght of Mawd the Empres. 368.74."
Tale of King Arthure,person,0.97,given name in entry; title of rank in name,T,136.20,"Tale of King Arthure, conueyed awaye by Fairies. 136.20","Tale of King Arthure, conueyed awaye by Fai|ries. 136.20"
Tankeruile william,person,0.83,given name in entry; described by rank/office,T,359.70.,"Tankeruile william, chãberleyne and Lieutenant to King Henrie the first. 359.70.","Tankeruile william, chã|berleyne and Lieutenant to King Henrie the firſt. 359.70."
Tay riuer,place,0.95,place-type word in name; used elsewhere as a location,T,69.88,Tay riuer. 69.88,Tay riuer. 69.88
Tarapha,person,0.85,contextual verb evidence,T,1.97,Tarapha cited. 1.97,Tarapha cited. 1.97
Tancred,person,0.96,described by rank/office; appointment to office,T,480.104,Tancred elected King of Sicill. 480.104,Tancred elected King of Sicill. 480.104
Talbot George,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,T,1430.14,"Talbot George Earle of Shrewesburie, and hys sonne Lord Straunge at Stoke field. 1430.14","Talbot George Earle of Shreweſburie, and hys ſonne Lord Straunge at Stoke field. 1430.14"
Talbot Gilbert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,143<?>.4<?>.,"Talbot Gilbert Knight, sent intoo Flaunders. 143<?>.4<?>.","Talbot Gilbert Knight, ſent intoo Flaunders. 143<?>.4<?>."
Tale,person,0.84,biographical event,T,249.87,Tale howe Swanus was slaine with Saint Edmonds knife. 249.87,Tale howe Swanus was ſlaine with Saint Ed|monds knife. 249.87
Tamer riuer,place,0.97,place-type word in name; used elsewhere as a location,T,241.42,Tamer riuer. 241.42,Tamer riuer. 241.42
Tamer Riuer,place,0.97,place-type word in name; used elsewhere as a location,T,226.103.,"Tamer Riuer, a confine betweene the Englishmen and Cornishmen. 226.103.","Tamer Riuer, a confine betweene the Engliſh|men and Corniſhmen. 226.103."
Tankeruile,uncertain,0.45,mixed signals: described by rank/office,T,pag. 1262. col. 1. lin. 34.,Tankeruile yeelded to the Lorde Talbot. pag. 1262. col. 1. lin. 34.,Tankeruile yeelded to the Lorde Talbot. pag. 1262. col. 1. lin. 34.
Tamworth towne,place,0.95,place-type word in name; used elsewhere as a location,T,1416.57.,Tamworth towne. 1416.57.,Tamworth towne. 1416.57.
Talbot George,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,1464.5,"Talbot George Earle of Shrewesburie, and Lord stewarde of housholde to Henrie the eigth. 1464.5","Talbot George Earle of Shreweſburie, and Lord ſtewarde of houſholde to Henrie the eigth. 1464.5"
Talbot George,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,1478.36,"Talbot George, Earle of Shrewsburie captaine of the foreward in the wing to Turwin. 1478.36","Talbot George, Earle of Shrewſburie captaine of the foreward in the wing to Turwin. 1478.36"
Talbot Humfrey,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1435.50,"Talbot Humfrey knight, Marshall of Calais, sent into Flaunders. 1435.50","Talbot Humfrey knight, Marſhall of Calais, ſent into Flaunders. 1435.50"
Talbot George,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,1567.50.,Talbot George Earle of Shrewsbury his faithful diligence in the tyme of the rebellion in the north. 1567.50.,Talbot George Earle of Shrewſbury his faithful diligence in the tyme of the rebellion in the north. 1567.50.
Talbot George,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,1522.52,"Talbot George Earle of Shrewsburie, Lieutenaunt Generall of the north partes. 1522.52","Talbot George Earle of Shrewſburie, Lieute|naunt Generall of the north partes. 1522.52"
Talbot Gylbert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1461.19.,"Talbot Gylbert Knight, Ambassador to the Pope. 1461.19.","Talbot Gylbert Knight, Ambaſſador to the Pope. 1461.19."
Tankeruile,uncertain,0.45,mixed signals: weak evidence,T,1821.30. recouered by the Reingraue. 1821.18,Tankeruile wonne by Edwarde Dudley. 1821.30. recouered by the Reingraue. 1821.18,Tankeruile wonne by Ed|warde Dudley. 1821.30. recouered by the Rein|graue. 1821.18
Earle of Tankeruile,person,0.84,title of rank in name,T,930 55. a.,Earle of Tankeruile taken prisoner at Caen. 930 55. a.,Earle of Tankeruile ta|ken priſoner at Caen. 930 55. a.
Tame Robert,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1450.14.,"Tame Robert Knight, 1450.14.","Tame Robert Knight, 1450.14."
Tadcaster,place,0.81,contextual verb evidence,T,.1820.40,Tadcaster a town .1820.40,Tadcaſter a town .1820.40
Tearme of Trinitie,uncertain,0.2,"proper name, but no clear signal",T,1601.40,Tearme of Trinitie adiourned by reason of the warres. 1601.40,Tearme of Trinitie ad|iourned by reaſon of the warres. 1601.40
Tenham,uncertain,0.45,mixed signals: described by rank/office,T,618.40,Tenham spoiled by the erle of Albemarle. 618.40,Tenham ſpoiled by the erle of Albemarle. 618.40
Templers,uncertain,0.45,mixed signals: described by rank/office; located within a named region,T,,Templers sent from Pandolfe the Popes Legate in Fraunce too King Iohn. 574.83,Templers ſent from Pan|dolfe the Popes Legate in Fraunce too King Iohn. 574.83
Temple,place,0.94,used elsewhere as a location,T,23.16,"Temple of peace, nowe Blackwell hall in London builded. 23.16","Temple of peace, nowe Blackwell hall in Lon|don builded. 23.16"
Tacitus,person,0.85,contextual verb evidence,T,4.77. and 51.26. and. 52.58. and. 69 14.,Tacitus cited. 4.77. and 51.26. and. 52.58. and. 69 14.,Tacitus cited. 4.77. and 51.26. and. 52.58. and. 69 14.
Temples,place,0.81,used elsewhere as a location,T,,Temples builded in Brytain by Cunedagius. <?>.40,Temples builded in Bry|tain by Cunedagius. <?>.40
Temple of Claudius,place,0.85,used elsewhere as a location,T,54.45,Temple of Claudius and Victoria builded. 54.45,Temple of Claudius and Victoria builded. 54.45
Terre,uncertain,0.2,"proper name, but no clear signal",T,6.9<?>,"Terre filius, howe to bee vnderstoode. 6.9<?>","Terre filius, howe to bee vnderſtoode. 6.9<?>"
Teuide riuer,place,0.95,place-type word in name; used elsewhere as a location,T,55.63,Teuide riuer. 55.63,Teuide riuer. 55.63
Tertullian,person,0.85,contextual verb evidence,T,53.28,Tertullian cited. 53.28,Tertullian cited. 53.28
Temnesford castell,place,0.88,place-type word in name; used elsewhere as a location,T,222.85,Temnesford castell builded and destroyed. 222.85,Temneſford caſtell builded and deſtroyed. 222.85
Tearmes,uncertain,0.45,mixed signals: weak evidence,T,303.40,Tearmes ordeyned to bee kept foure tymes in a yeare. 303.40,Tearmes ordeyned to bee kept foure tymes in a yeare. 303.40
Tenchard Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1459.17,Tenchard Thomas knight causeth the Archduke to stay. 1459.17,Tenchard Thomas knight cauſeth the Archduke to ſtay. 1459.17
Terrouan,place,0.91,used elsewhere as a location,T,937.43. b,Terrouan besieged and won. 937.43. b,Terrouan beſieged and won. 937.43. b
Tenantius,uncertain,0.2,"proper name, but no clear signal",T,,Tenantius looke Theomantius.,Tenantius looke Theo|mantius.
Tedder Iasper,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place; ,T,1426.33. vncle to K. Henrie the .vij. ibid. sent with a power to represse the insurrection of the Lord Louell and others. 1427.4<?>. the which hee doth with effect. 1428.10. sent with a power against the counterfeit Erle of warwike 1430. disconfiteth the army of the counterfeyte. 1431.30.,"Tedder Iasper, Earle of Pembroke created duke of Bedford. 1426.33. vncle to K. Henrie the .vij. ibid. sent with a power to represse the insurrection of the Lord Louell and others. 1427.4<?>. the which hee doth with effect. 1428.10. sent with a power against the counterfeit Erle of warwike 1430. disconfiteth the army of the counterfeyte. 1431.30.","Tedder Iaſper, Earle of Pembroke created duke of Bedford. 1426.33. vn|cle to K. Henrie the .vij. ibid. ſent with a power to repreſſe the inſurrec|tion of the Lord Louell and others. 1427.4<?>. the which hee doth with ef|fect. 1428.10. ſent with a power againſt the coun|terfeit Erle of warwike 1430. diſcõfiteth the ar|my of the counterfeyte. 1431.30."
Tenplers,uncertain,0.2,"proper name, but no clear signal",T,448 32. a. their lands giuen to the hospitalere. 874.26. a,Tenplers apprehended. 448 32. a. their lands giuen to the hospitalere. 874.26. a,Tẽplers apprehended. 448 32. a. their lands giuen to the hoſpitalere. 874.26. a
Tirrell walter,person,0.97,given name in entry; used elsewhere as a personal name,T,334.48,Tirrell walter escapeth away by flight. 334.48,Tirrell walter eſcapeth a|way by flight. 334.48
Tenpest,uncertain,0.2,"proper name, but no clear signal",T,89<?>.16. b,Tenpest of winds. 89<?>.16. b,Tẽpeſt of winds. 89<?>.16. b
Tearme,uncertain,0.2,"proper name, but no clear signal",T,1591.18,Tearme adiourned to saint Albons. 1591.18,Tearme adiourned to ſaint Albons. 1591.18
Terwin,place,0.84,contextual verb evidence,T,1485.28,Terwin rased. 1485.28,Terwin raſed. 1485.28
Tenerchbray Castel,place,0.97,place-type word in name; used elsewhere as a location,T,345.<?>3,Tenerchbray Castel besieged. 345.<?>3,Tenerchbray Caſtel beſie|ged. 345.<?>3
Tempest Nicholas,person,0.97,given name in entry; used elsewhere as a personal name,T,1570.12,Tempest Nicholas put to death. 1570.12,Tempeſt Nicholas put to death. 1570.12
Tesra,uncertain,0.2,"proper name, but no clear signal",T,844.43. a,Tesra williã prohibited to gather money. 844.43. a,Teſra williã prohibited to gather money. 844.43. a
Teukesburie,place,0.81,contextual verb evidence,T,1337.52. field 1338.30.,Teukesburie 1337.52. field 1338.30.,Teukeſburie 1337.52. field 1338.30.
Tirrel Iames,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1435 47.,"Tirrel Iames Knight, Capitaine of Guisnes, sent into Flanders. 1435 47.","Tirrel Iames Knight, Capitaine of Guiſnes, ſent into Flanders. 1435 47."
Tirell Iames,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; biographical event,T,1457.40,Tirell Iames knight attainted & beheded. 1457.40,Tirell Iames knight at|tainted & beheded. 1457.40
Tindall william,person,0.75,given name in entry; used elsewhere as a personal name,T,1764.26. his byrth and workes. ibid.,"Tindall william burned, 1764.26. his byrth and workes. ibid.","Tindall william burned, 1764.26. his byrth and workes. ibid."
Tinmouth,place,0.86,used elsewhere as a location,T,325.12,Tinmouth. 325.12,Tinmouth. 325.12
Tinmouth Castell,place,0.79,place-type word in name; used elsewhere as a location; described by rank/office,T,326.5,Tinmouth Castell taken by King william Rufus 326.5,Tinmouth Caſtell taken by King william Ru|fus 326.5
Tileburg vpon Thames,uncertain,0.2,"proper name, but no clear signal",T,174.46.,"Tileburg vpon Thames, 174.46.","Tileburg vpon Thames, 174.46."
Tickhill Castell,place,0.92,place-type word in name; used elsewhere as a location; described by rank/office,T,339.62,Tickhill Castell fortified agaynst king Henrie the first. 339.62,Tickhill Caſtell fortified agaynſt king Henrie the firſt. 339.62
Titus,person,0.97,described by rank/office; holds a title over a place; biographical event,T,73.44,Titus Emperor of Rome dieth. 73.44,Titus Emperor of Rome dieth. 73.44
Tithings,place,0.85,located within a named region,T,217,"Tithings and hundreds, first deuised in England, and why. 217","Tithings and hundreds, firſt deuiſed in England, and why. 217"
Tileres Gilbert,person,0.89,given name in entry; used elsewhere as a personal name,T,428.88,Tileres Gilbert owner of Danuile Castel. 428.88,Tileres Gilbert owner of Danuile Caſtel. 428.88
Tineas,person,0.91,described by rank/office; holds a title over a place,T,15.39,Tineas king of Babilon. 15.39,Tineas king of Babilon. 15.39
Triphon,uncertain,0.45,mixed signals: weak evidence,T,5.106,Triphon slain by Hercules in Egypt. 5.106,Triphon ſlain by Hercules in Egypt. 5.106
Timagines,person,0.84,contextual verb evidence,T,3.80,Timagines first bringeth the Greke letters fron the Druides to Athens. 3.80,Timagines firſt bringeth the Greke letters frõ the Druides to Athens. 3.80
Tiler wat,person,0.97,given name in entry; used elsewhere as a personal name,T,1029.1. a,Tiler wat slain. 1029.1. a,Tiler wat ſlain. 1029.1. a
Tinninghã,place,0.8,contextual verb evidence,T,227.73,Tinninghã burnt. 227.73,Tinninghã burnt. 227.73
Titus Liuius,person,0.85,contextual verb evidence,T,27.70,Titus Liuius cited. 27.70,Titus Liuius cited. 27.70
Prior of Tiptre,person,0.74,title of rank in name; used elsewhere as a location,T,1090.30. a,Prior of Tiptre thronged to death. 1090.30. a,Prior of Tiptre thronged to death. 1090.30. a
Til<?>ey Abbey,place,0.97,place-type word in name; used elsewhere as a location,T,394.25,Til<?>ey Abbey founded. 394.25,Til<?>ey Abbey founded. 394.25
Tithes,place,0.85,located within a named region,T,420.108,"Tithes too bee payed too Churches in Irelande, 420.108","Tithes too bee payed too Churches in Irelande, 420.108"
Tirrell walter,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,334.39,"Tirrell walter a Frenche knight, sleaeth K. williã with an arrow. 334.39","Tirrell walter a Frenche knight, ſleaeth K. williã with an arrow. 334.39"
Tine riuer,place,0.97,place-type word in name; used elsewhere as a location,T,140.8,Tine riuer. 140.8,Tine riuer. 140.8
Tine riuer,place,0.97,place-type word in name; used elsewhere as a location,T,76.50,Tine riuer. 76.50,Tine riuer. 76.50
Tine riuer,place,0.97,place-type word in name; used elsewhere as a location,T,302.61,Tine riuer. 302.61,Tine riuer. 302.61
Tinemouth,uncertain,0.2,"proper name, but no clear signal",T,202.45,Tinemouth. 202.45,Tinemouth. 202.45
Theobald,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,411.60,"Theobald Earle of Charters, maketh warres vpon Haruie de yuon. 411.60","Theobald Earle of Char|ters, maketh warres vpõ Haruie de yuon. 411.60"
Theobald,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,412.107,Theobald Earle of Bloys maketh attonement betwene the kings of Eng+land & France. 412.107,Theobald Earle of Bloys maketh attonement be|twene the kings of Eng+land & France. 412.107
Theadford towne,place,0.95,place-type word in name; used elsewhere as a location,T,230.9,Theadford towne. 230.9,Theadford towne. 230.9
Thames,place,0.85,used elsewhere as a location,T,383.105,"Thames frozen, so that men passe ouer on foote, and horsebacke. 383.105","Thames frozen, ſo that mẽ paſſe ouer on foote, and horſebacke. 383.105"
Theobalde,person,0.97,given name in entry; described by rank/office; holds a title over a place; kinship language,T,386.3,"Theobalde Archbishop of Canterburie, for feare of King Stephen and his son fleeth the realme. 386.3","Theobalde Archbiſhop of Canterburie, for feare of King Stephen and his ſon fleeth the realme. 386.3"
Thorney Abbey,place,0.95,place-type word in name; used elsewhere as a location,T,234.9,Thorney Abbey establyshed. 234.9,Thorney Abbey eſtably|ſhed. 234.9
Thomas,person,0.97,given name in entry; used elsewhere as a personal name,T,30<?>.29.,"Thomas depriued of hys Archbishoprike, and why 30<?>.29.","Thomas depriued of hys Archbiſhoprike, and why 30<?>.29."
Theodore,person,0.97,used elsewhere as a personal name; described by rank/office; appointment to office,T,178 35.,Theodore ordeyned Archbishop of Canterburie. 178 35.,Theodore ordeyned Arch|biſhop of Canterburie. 178 35.
"Thamar, an Englishman",person,0.97,given name in entry; described by rank/office; appointment to office,T,170.36,"Thamar, an Englishman, ordeined Bishop of Rochester. 170.36","Thamar, an Engliſhman, ordeined Biſhop of Ro|cheſter. 170.36"
Three,person,0.9,described by rank/office; biographical event,T,401.22,"Three knightes templers banished France, for deliuering vp certaine castels to king Henrye the second. 401.22","Three knightes templers baniſhed France, for de|liuering vp certaine ca|ſtels to king Henrye the ſecond. 401.22"
Theophilus,person,0.97,given name in entry,T,2.10. and 4.70.,Theophilus cited. 2.10. and 4.70.,Theophilus cited. 2.10. and 4.70.
Theomantius,person,0.97,used elsewhere as a personal name; kinship language; appointment to office,T,45.90,"Theomantius yongest son to Lud, created king of Britaine. 45.90","Theomantius yongeſt ſon to Lud, created king of Britaine. 45.90"
Theodora,person,0.82,used elsewhere as a personal name; kinship language; biographical event,T,89.30,"Theodora, daughter in law to Herculeus Maximianus, maryed to Constantius. 89.30","Theodora, daughter in law to Herculeus Maximia|nus, maryed to Conſtan|tius. 89.30"
Theobald Erle of Champaigne,person,0.97,given name in entry; title of rank in name; used elsewhere as a personal name,T,354.108,Theobald Erle of Champaigne maketh war vpon the Frenchmen. 354.108,Theobald Erle of Cham|paigne maketh war vpon the Frenchmen. 354.108
Theodosius,uncertain,0.45,mixed signals: used elsewhere as a personal name; described by rank/office,T,96.14,Theodosius the Emperour fleath Maximanus in Italie. 96.14,Theodoſius the Empe|rour fleath Maxima|nus in Italie. 96.14
Theodosius,person,0.85,used elsewhere as a personal name,T,103.110.,Theodosius sent into Britayne wyth an armye. 103.110.,Theodoſius ſent into Bri|tayne wyth an armye. 103.110.
Theodosius,person,0.84,used elsewhere as a personal name,T,104.37,"Theodosius putteth the enimies to flight, and restoreth the land of Brytain to quietnesse. 104.37","Theodoſius putteth the e|nimies to flight, and re|ſtoreth the land of Bry|tain to quietneſſe. 104.37"
Theodosius,person,0.89,used elsewhere as a personal name,T,105.79,Theodosius returneth out of Brytaine to the Emperours Court. 105.79,Theodoſius returneth out of Brytaine to the Em|perours Court. 105.79
Theodosius,person,0.85,used elsewhere as a personal name,T,105.82,Theodosius made maister of the horse. 105.82,Theodoſius made maiſter of the horſe. 105.82
Theodosius,uncertain,0.45,mixed signals: used elsewhere as a personal name,T,105.<?>3,Theodosius called to be associate with Gracianus in the Empire. 105.<?>3,Theodoſius called to be aſ|ſociate with Gracianus in the Empire. 105.<?>3
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,,"Thomas Chaplayne too King Henrie the first, made Archbishoppe of Yorke. <?>48.12","Thomas Chaplayne too King Henrie the firſt, made Archbiſhoppe of Yorke. <?>48.12"
Thomas,person,0.97,given name in entry; used elsewhere as a personal name,T,348.65,Thomas refuseth to come too Canterburie too bee consecrated. 348.65,Thomas refuſeth to come too Canterburie too bee conſecrated. 348.65
Thomas,person,0.97,given name in entry; used elsewhere as a personal name,T,348.52,Thomas suspended from exercising all pastorall function. 348.52,Thomas ſuſpended from exerciſing all paſtorall function. 348.52
Thom,person,0.97,given name in entry; kinship language,T,350.21,Thom. son to Samson Bi. of worceter. 350.21,Thom. ſon to Samſon Bi. of worceter. 350.21
Thrustain,person,0.75,used elsewhere as a personal name,T,352.9,Thrustain succeedeth Th. in the Archbishoprike of Yorke. 352.9,Thruſtain ſucceedeth Th. in the Archbiſhoprike of Yorke. 352.9
Thrustain,person,0.87,used elsewhere as a personal name; described by rank/office,T,352.12,"Thrustain contendeth with Raufe Archbishoppe of Canterburie, aboute the right and title of the Primacie. 352.12","Thruſtain contendeth with Raufe Archbiſhoppe of Canterburie, aboute the right and title of the Pri|macie. 352.12"
Thom,person,0.95,given name in entry,T,350.65,Thom. consecrated Archb. of Yorke. 350.65,Thom. conſecrated Archb. of Yorke. 350.65
Thomas,person,0.97,given name in entry; used elsewhere as a personal name,T,350.101,Thomas receyueth the pal at Yorke. 350.101,Thomas receyueth the pal at Yorke. 350.101
Thunnir,place,0.85,located within a named region,T,180.102,Thunnir a cruell murtherer in Kent. 180.102,Thunnir a cruell murthe|rer in Kent. 180.102
Thomas Archb,person,0.97,given name in entry; used elsewhere as a personal name,T,341.115,Thomas Archb. of yorke. departeth out of this trãsitorie life. 341.115,Thomas Archb. of yorke. departeth out of this trã|ſitorie life. 341.115
Thomas Archbishoppe of Yorke,person,0.97,given name in entry; title of rank in name; used elsewhere as a personal name,T,336.55,Thomas Archbishoppe of Yorke. 336.55,Thomas Archbiſhoppe of Yorke. 336.55
Thomas Chanon of Bayeux,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; appointment to office,T,305.11,"Thomas Chanon of Bayeux, made Archbishop of Yorke. 305.11","Thomas Chanon of Bay|eux, made Archbiſhop of Yorke. 305.11"
Theodoretus,person,0.85,contextual verb evidence,T,53.21. and. 90.48.,Theodoretus cited. 53.21. and. 90.48.,Theodoretus cited. 53.21. and. 90.48.
Thurstane,person,0.91,described by rank/office; holds a title over a place,T,313.1,Thurstane Abbot of Glastenburie. 313.1,Thurſtane Abbot of Glaſ|tenburie. 313.1
Thurstane,person,0.82,contextual verb evidence,T,313.25,"Thurstane depriued, for his great disorder. 313.25","Thurſtane depriued, for his great diſorder. 313.25"
Thurstane,person,0.83,described by rank/office,T,313.33,"Thurstane restored againe by king Rufus, for money. 313.33","Thurſtane reſtored againe by king Rufus, for mo|ney. 313.33"
Theobald Archb. of Canterburie,person,0.93,given name in entry; used elsewhere as a personal name,T,382.1<?>,"Theobald Archb. of Canterburie, departeth ouer sea without licence of the king. 382.1<?>","Theobald Archb. of Can|terburie, departeth ouer sea without licence of the king. 382.1<?>"
Theobald Archb,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,382,Theobald Archb. constrayned by the king to depart the realme. 382,Theobald Archb. conſtray|ned by the king to depart the realme. 382
Thirlbie,person,0.94,described by rank/office; holds a title over a place,T,1763.40,"Thirlbie Bishop of Elie, sent Ambassador vntoo Rome. 1763.40","Thirlbie Biſhop of Elie, ſent Ambaſſador vntoo Rome. 1763.40"
Three,person,0.9,described by rank/office; biographical event,T,287.28,"Three horses slaine vnder duke william of Normãdie, in the battaile at Hasting. 287.28","Three horſes ſlaine vnder duke william of Normã|die, in the battaile at Ha|ſting. 287.28"
Thomas,person,0.94,given name in entry; used elsewhere as a personal name,T,171.45,Thomas succeedeth Felix in the Bishoprike of the Eastangles. 171.45,Thomas ſucceedeth Felix in the Biſhoprike of the Eaſtangles. 171.45
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; biographical event,T,172.47,Thomas B. of the Eastangles dieth. 172.47,Thomas B. of the Eaſt|angles dieth. 172.47
Thrustane,person,0.83,described by rank/office,T,355.9<?>,Thrustane created Archebishoppe by the Popes owne handes. 355.9<?>,Thruſtane created Arche|biſhoppe by the Popes owne handes. 355.9<?>
Thrustane,person,0.82,contextual verb evidence,T,358.44,Thrustane restored vntoo his Archbishoprike vpon condition. 358.44,Thruſtane reſtored vntoo his Archbiſhoprike vpon condition. 358.44
Tholous countrey,place,0.92,place-type word in name; used elsewhere as a location; described by rank/office,T,199.33,Tholous countrey spoyled by king Henrie the second. 199.33,Tholous countrey ſpoyled by king Henrie the ſe|cond. 199.33
Theodore Archb. of Canterburie,person,0.97,used elsewhere as a personal name; biographical event,T,187.26,Theodore Archb. of Canterburie dieth. 187.26,Theodore Archb. of Can|terburie dieth. 187.26
Theobalde,person,0.97,given name in entry; described by rank/office; holds a title over a place,T,401.27,"Theobalde Archbishop of Canterburie, departeth this life. 401.27","Theobalde Archbiſhop of Canterburie, departeth this life. 401.27"
Thom,person,0.97,given name in entry; kinship language; biographical event,T,949.22. a,Thom. son to K. Edwarde the third borne. 949.22. a,Thom. ſon to K. Edwarde the third borne. 949.22. a
Theodorus Erle of Flanders,person,0.97,title of rank in name; kinship language,T,397.<?>5,"Theodorus Erle of Flanders going to Ierusalem conmitteth his son & lands to the custodie of Henrie the second, king of Englande. 397.<?>5","Theodorus Erle of Flan|ders going to Ieruſalem cõmitteth his ſon & lands to the cuſtodie of Henrie the ſecond, king of Eng|lande. 397.<?>5"
Thom,person,0.93,given name in entry; described by rank/office,T,1321.56.1329.16.,"Thom. a Bourgh knight, 1321.56.1329.16.","Thom. a Bourgh knight, 1321.56.1329.16."
Thomas Dimocke,person,0.94,given name in entry; used elsewhere as a personal name; described by rank/office; biographical event,T,1322. 7. beheaded. col. 2.6.,Thomas Dimocke knight tooke Sanctuarie. 1322. 7. beheaded. col. 2.6.,Thomas Dimocke knight tooke Sanctuarie. 1322. 7. beheaded. col. 2.6.
Thomas de Laund,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1322.38,Thomas de Laund knight taken. 1322.38,Thomas de Laund knight taken. 1322.38
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1222.54.,Thomas Lorde Stanley. 1222.54.,Thomas Lorde Stanley. 1222.54.
Thomas Coniers,person,0.97,given name in entry; used elsewhere as a personal name,T,1328.48,Thomas Coniers recorder of Yorke. 1328.48,Thomas Coniers recor|der of Yorke. 1328.48
Thames,place,0.75,used elsewhere as a location,T,780.46,"Thames ouerfloweth by meanes of great raine, & doth much harme within the citie of London. 780.46","Thames ouerfloweth by meanes of great raine, & doth much harme within the citie of Lõdõ. 780.46"
Tholous,place,0.8,used elsewhere as a location,T,398.77,Tholous erledom engaged and forfeited to Reimond erle of S. Giles. 398.77,Tholous erledom engaged and forfeited to Reimond erle of S. Giles. 398.77
Tholous Earledome,uncertain,0.45,mixed signals: used elsewhere as a location; kinship language,T,398.96,"Tholous Earledome giuen in dowery with Constance, to Eustace sonne to king Stephen. 398.96","Tholous Earledome gi|uen in dowery with Con|ſtance, to Euſtace ſonne to king Stephen. 398.96"
Thetforde,person,0.8,contextual verb evidence,T,211.20,Thetforde taken by the Danes. 211.20,Thetforde taken by the Danes. 211.20
Thamworth town,place,0.95,place-type word in name; used elsewhere as a location,T,222.37,Thamworth town. 222.37,Thamworth town. 222.37
Theodbaldus,person,0.97,used elsewhere as a personal name; kinship language; biographical event,T,153.44,Theodbaldus brother too Egelfred slaine. 153.44,Theodbaldus brother too Egelfred ſlaine. 153.44
Thurst william,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; holds a title over a place,T,1<?>76.13.,Thurst william Abbot of Fountaines put to death. 1<?>76.13.,Thurſt william Abbot of Fountaines put to death. 1<?>76.13.
Thorsbye Iohn,person,0.97,given name in entry; used elsewhere as a personal name,T,944.1. a,Thorsbye Iohn made Archb. of Yorke. 944.1. a,Thorſbye Iohn made Archb. of Yorke. 944.1. a
Tilwall towne,place,0.87,place-type word in name; used elsewhere as a location,T,222.75.,Tilwall towne builded. 222.75.,Tilwall towne builded. 222.75.
Thomas Mountgomerie,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,13<?>9. co. 1. li. 17,Thomas Mountgomerie knight. pa. 13<?>9. co. 1. li. 17,Thomas Mountgomerie knight. pa. 13<?>9. co. 1. li. 17
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,pag. 133<?> co. 2. lin. 38. slain. pa. 1339 col. 2. lin. <?>4.,Thomas Courtney Earle of Deuonshire pag. 133<?> co. 2. lin. 38. slain. pa. 1339 col. 2. lin. <?>4.,Thomas Courtney Earle of Deuonſhire pag. 133<?> co. 2. lin. 38. ſlain. pa. 1339 col. 2. lin. <?>4.
Theisedale,place,0.89,used elsewhere as a location,T,,Theisedale wasted by the Scottes. <?>06.115,Theiſedale waſted by the Scottes. <?>06.115
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office; biographical event,T,1074. 44. a.,Thomas Triuet knight slaine with a fall. 1074. 44. a.,Thomas Triuet knight ſlaine with a fall. 1074. 44. a.
Thames,place,0.85,used elsewhere as a location,T,353.24,Thames so lowe that men might wade through London bridge. 353.24,Thames ſo lowe that men might wade through Lõ|don bridge. 353.24
Throckmorton,person,0.86,biographical event,T,1766.<?>,Throckmorton executed for treason. 1766.<?>,Throckmortõ executed for treaſon. 1766.<?>
Thomas,person,0.97,given name in entry; used elsewhere as a personal name; described by rank/office,T,1119 col. 2. lin. 56.,Thomas Neuill Knight Lord Furniual pa. 1119 col. 2. lin. 56.,Thomas Neuill Knight Lord Furniual pa. 1119 col. 2. lin. 56.
